Medium,30,20,8,12353,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",4300,10.4302
Medium,30,20,9,12354,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",5000,0.1523
Medium,30,20,9,12354,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",4200,0.1466
Medium,30,20,9,12354,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",4200,10.3503
Medium,30,20,10,12355,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",4400,0.1503
Medium,30,20,10,12355,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",4200,0.1409
Medium,30,20,10,12355,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",3900,10.4869
Large,50,30,1,12346,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",16500,0.3502
Large,50,30,1,12346,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",15300,0.3506
Large,50,30,1,12346,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",14500,26.1949
Large,50,30,2,12347,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",18400,0.3743
Large,50,30,2,12347,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",15800,0.3492
Large,50,30,2,12347,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",14400,26.2005
Large,50,30,3,12348,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",16600,0.357
Large,50,30,3,12348,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",14900,0.3641
Large,50,30,3,12348,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",15600,25.9007
Large,50,30,4,12349,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",17000,0.3459
Large,50,30,4,12349,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",15000,0.3439
Large,50,30,4,12349,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",14500,25.9768
Large,50,30,5,12350,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",18000,0.3684
Large,50,30,5,12350,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",15800,0.3465
Large,50,30,5,12350,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",14000,26.6128
